stop_id,stop_name,stop_town,stop_lon,stop_lat,location_type,parent_station,wheelchair_boarding,platform_code
42075901,"Rotterdam, Beurs",Rotterdam,3.31356,47.974766,0,sa_RtBeur,0,
42076401,"Delft, Station Delft (Perron I)",Delft,3.31356,47.974766,0,sa_DlfNSn,0,I
42076402,"Delft, Station Delft (Perron H)",Delft,3.31356,47.974766,0,sa_DlfNSn,0,H
42076403,"Delft, Station Delft (Perron G)",Delft,3.31356,47.974766,0,sa_DlfNSn,0,G
42076404,"Delft, Station Delft (Perron F)",Delft,3.31356,47.974766,0,sa_DlfNSn,0,F
42076405,"Delft, Station Delft (Perron E)",Delft,3.31356,47.974766,0,sa_DlfNSn,0,E
42076406,"Delft, Station Delft",Delft,3.31356,47.974766,0,sa_DlfNSn,0,D
42076407,"Delft, Station Delft",Delft,3.31356,47.974766,0,sa_DlfNSn,0,
42076410,Station Delft Buffer,Delft,3.31356,47.974766,0,sa_10320,0,
42076501,"Delft, TU - Kluyverpark",Delft,3.31356,47.974766,0,sa_DlfKlp,0,
42076502,"Delft, TU - Kluyverpark",Delft,3.31356,47.974766,0,sa_DlfKlp,0,
42076601,"Delft, TU - Technopolis",Delft,3.31356,47.974766,0,sa_DlfTec,0,
42076602,"Delft, TU - Technopolis",Delft,3.31356,47.974766,0,sa_DlfTec,0,
42076701,"Den Hoorn, Heernesse",Den Hoorn,3.31356,47.974766,0,sa_DHnHee,0,
42076702,"Den Hoorn, Heernesse",Den Hoorn,3.31356,47.974766,0,sa_DHnHee,0,
42076801,"Maassluis, Westeinde",Maassluis,3.31356,47.974766,0,sa_MssNWh,0,
42076901,"Den Haag, Moerweg",Den Haag,3.31356,47.974766,0,sa_GvMow,0,
42077201,Pettendijk,Maasdijk,3.31356,47.974766,0,sa_MsdPet,0,
42077401,"Pijnacker, Uitvaartcentrum",Pijnacker,3.31356,47.974766,0,sa_PynUit,0,
42077402,"Pijnacker, Uitvaartcentrum",Pijnacker,3.31356,47.974766,0,sa_PynUit,0,
42124690,"Zwolle, Kerkweg",Zwolle,3.31356,47.974766,0,sa_20301,1,
42210010,Brokkenstraat,Breedenbroek,3.31356,47.974766,0,,0,
42210030,Hebinck,Breedenbroek,3.31356,47.974766,0,sa_BrbHeb,0,
42210040,Hebinck,Breedenbroek,3.31356,47.974766,0,sa_BrbHeb,0,
42210050,Weg naar De Heurne,Dinxperlo,3.31356,47.974766,0,sa_DxpWnH,1,
42210051,Weg naar De Heurne,Dinxperlo,3.31356,47.974766,0,sa_DxpWnH,1,
42210053,Weg naar De Heurne,Dinxperlo,3.31356,47.974766,0,sa_DxpWnH,1,
42210060,Weg naar De Heurne,Dinxperlo,3.31356,47.974766,0,sa_DxpWnH,0,
42210070,Groene Kruis,Dinxperlo,3.31356,47.974766,0,,1,
